Paaneach Raza, Bereshit 1	@בראשית פרשת בראשית	Genesis 1:1
Paaneach Raza, Bereshit 2	פתח התורה בבי"ת בעבור כי במלואה בצירוף חילוף אותיותיה בא"ת ב"ש שהוא שמ"א יעלה בין הכל תשנ"ג כמספר אורים ותומים כי בכל המקרא תומים שאצל אורים חסר ו' רמז כי האירו ועלו האותיות לפניו ית' איך ומה לבראת כל דבר ודבר ע"ד משפט אורים ותומים שבחושן. ד"א כי שמ"א הוא בהפוך אמ"ש שהן שלש אמות הנזכר בספר יצירה להתחלת הבריאה, אוי"ר, מי"ם, א"ש, לכן פתח בבי"ת לומר שנתמלאה הבי"ת ונחלפה כפי צורך הבריאה בה:	Genesis 1:1
Paaneach Raza, Bereshit 3	ד"א על ג' דברים העולם קיים, "אמת, "משפט, "שלום הרי ר"ת אמ"ש, לוי:	Genesis 1:1
Paaneach Raza, Bereshit 4	(ד"א כי בית"ו של אדם האמתי הוא העוה"ב וגן עדן קדם לזאת הבריאה למען ידע שהעוה"ז אינו אלא אושפיזא לא דירת קבע, וכאורח נטה ללון בו, ע"ד מחז"ל ליחרב ביתך וכו' לכן קדמה בי"ת תחלה:	Genesis 1:1
Paaneach Raza, Bereshit 5	ד"א פתח בבי"ת כאלו אמר ב' ראשית, שני ראשיות וקצוות הן, לומר שהבריאה שי"ל התחלה וראשית יהי' לה ג"כ קץ וסוף שתחזור לתהו ובהו, שזהו ראשית שני לה כי כל קצה נקרא ראשית כנודע, והתכלית ידע אדם קצו ואחריתו הבל, שכל הוה נפסד, ומראשיתו יתבונן באחריתו כרמז נר דלוק על ראשו ובו מביט מסוף העולם עד סופו שהוא ג"כ להוראה זו במעי אמו וק"ל. ד"א בי"ת במילואה הוא אותיות ית"ב מלשון ישב, ע"ד ביתא מיתבא יתיב דריש מסכת ב"ק לומר כי בתחלת המחשבה לא תהו בראה לשבת יצרה ושלא יתעסק האדם בכל אשר אמרו עליו שהעוסק אינו מן הישוב רק ביישובו של עולם יעסוק לכן באה בי"ת תחלה). ד"א כי בהתמלאות הבי"ת במלואה יהי' עם שאר אותיות בראשית בריא"ת שת"י ברא, לומר כי בריאה כפולה ברא אלקים, אם כלי הפעולה אם הפעולות עצמם, כי שנים שנים באו אל הטב"ע ב' מדות דהיינו רחמים דין ששיתף לכך ב' תורות ב' עולמות גיהנם וג"ע שמים וארץ אש של מעלה ושל מטה יצ"ט ויצה"ר צדיקים ורשעים עליונים ותחתונים רוח האדם הוא העולה ורוח הבהמה היורדת (וקבל זה באה ב' בראשית רבתי בתורה לרמז שנתרבה ונתפשטה לדרשה במלואה):	Genesis 1:1
Paaneach Raza, Bereshit 6	בראשית אותיות א' בתשרי, לומר כי באחד בתשרי נברא העולם על דעת ר' אליעזר:	Genesis 1:1
Paaneach Raza, Bereshit 7	ד"א ברא"ש ת"י ולכך באה ב' רבתי ובתחלה לומר כי בית ראשון יעמוד ת"י שנים והוא ברמז ושכנת"י בתוכם, ושכן ת"י, מבעל הטורים:	Genesis 1:1
Paaneach Raza, Bereshit 8	וגם רמז בית שני בקרבו, כי ושכנתי אותיות ושני ת"ך:	Genesis 1:1
Paaneach Raza, Bereshit 9	(ד"א בראשית אותיות אש"ר בי"ת ואותיות ברא"ש ת"י ואותיות שא"ר תב"י ואותיות בשארי"ת ואותיות ברי"ת א"ש, לומר כי אושר וקיום הבית בזמן עמידתו הוא בראשונה ת"י שנים ובשאר כלומר בשני' ת' שנים וב' יו"ד שנים דהיינו ת"ך, ובשארית כלומר בשלישית שיהי' הסוף ושארית שיבנה ב"ב הוא יהי' נצחי בברית אש שהבטיח הוא ית' ואני אהי' לה נאום ה' חומת אש סביב:	Genesis 1:1
Paaneach Raza, Bereshit 10	ד"א בראשית אותיות שב"ת רי"א, לומר כי תורה העולה בגימט' תרי"א כדאיתא בגמ' על פסוק תורה צוה לנו משה מפני כי אנכי ולא יהי' לך מפי הגבורה שמענו בה ברא אלקים וגו' כי בתורה ברא אלקים כל העולמות כנודע:	Genesis 1:1
